Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Vicente Iborra;Villarreal CF;33;midfield;Spain;2700000;La Liga;13;928;0;0;4;0;3;0;1;688;5;13
Matt Miazga;Deportivo Alavés;26;Defender;United States;2700000;La Liga;;;;;;;;;;;;
Robert Gumny;FC Augsburg;23;Defender;Poland;2700000;Bundesliga;24;1377;1;0;4;0;7;3;2;762;12;13
Dani Garcia;Athletic Bilbao;31;midfield;Spain;2700000;La Liga;27;1920;0;1;8;0;7;1;1;1208;8;23
Ivan Marcone;Elche CF;31;midfield;Argentina;2700000;La Liga;33;2645;0;0;10;1;2;0;1;1745;15;48
Mattia Bani;Genoa CFC;27;Defender;Italy;2700000;Serie A;26;2066;0;0;10;0;13;3;1;1485;2;19
Karl Darlow;Newcastle;30;Goalkeeper;England;2700000;Premier League;25;2250;0;0;3;0;0;0;1;818;0;0
Ben Johnson;West Ham United;21;Defender;England;2700000;Premier League;14;523;1;0;1;0;3;1;0;277;6;3
Thiago Silva;Chelsea FC;36;Defender;Brazil;2700000;Premier League;23;1935;2;0;5;1;13;4;1;2077;2;13
Peru Nolaskoain;Athletic Bilbao;22;midfield;Spain;2700000;La Liga;;;;;;;;;;;;
Yvann Macon;AS Saint-Étienne;22;Defender;France;2700000;Ligue 1;6;539;1;1;2;0;2;2;2;397;13;19
Nils Petersen;SC Freiburg;32;attack;Germany;2700000;Bundesliga;32;1301;8;0;0;0;33;11;1;424;5;10
James Milner;Liverpool FC;35;midfield;England;2700000;Premier League;26;1070;0;1;3;0;12;3;1;1056;6;14
Keinan Davis;Aston Villa;23;attack;England;2700000;Premier League;15;277;1;1;0;0;9;2;2;122;7;3
Jonathan Schmid;SC Freiburg;31;Defender;France;2700000;Bundesliga;31;2393;2;2;4;0;22;9;5;1570;20;27
Craig Dawson;West Ham United;31;Defender;England;2700000;Premier League;22;1925;3;0;5;1;16;5;0;945;0;11
Arnaud Souquet;Montpellier HSC;29;Defender;France;2700000;Ligue 1;23;1224;1;1;5;0;6;2;3;834;9;23
Juan Brunetta;Parma Calcio 1913;24;midfield;Argentina;2700000;Serie A;12;475;1;2;3;0;10;5;2;263;17;1
Matt Ritchie;Newcastle;31;Defender;Scotland;2700000;Premier League;18;1350;0;2;2;0;11;1;4;754;6;9
Jannes Horn;1. FC Köln;24;Defender;Germany;2700000;Bundesliga;29;1768;0;1;6;0;6;1;2;1101;7;19
Valere Germain;Montpellier HSC;31;attack;France;2700000;Ligue 1;24;857;3;0;1;0;8;4;0;379;2;2
Luis Rioja;Deportivo Alavés;27;attack;Spain;2700000;La Liga;35;2090;4;2;4;0;25;10;10;917;43;15
Kevin Mohwald;1.FC Union Berlin;28;midfield;Germany;2700000;Bundesliga;27;1555;5;1;4;1;24;7;3;1160;15;16
Paul Dummett;Newcastle;29;Defender;Wales;2700000;Premier League;15;1255;1;0;2;0;3;1;1;709;2;11
